Įstaigos_kodas;Gydytojo_ID;Įrašo_sukūrimo_data;Apylinkės_tipas;Etatinis_darbo_krūvis
125873515;2487;2022-12-19 03:00:03;3;1.23
125873515;2711;2022-12-19 03:00:03;4;0.5
125873515;1919;2022-12-19 03:00:03;3;0.6
125873515;3686;2022-12-19 03:00:03;4;1.07
125873515;2455;2022-12-19 03:00:03;4;1.3
125873515;1920;2022-12-19 03:00:03;4;1.25
125873515;3784;2022-12-19 03:00:03;4;1.3
125873515;3987;2022-12-19 03:00:03;4;1.32
125873515;2032;2022-12-19 03:00:03;4;1.25
125873515;2579;2022-12-19 03:00:03;4;1.35
125873515;2489;2022-12-19 03:00:03;3;1
125873515;2250;2022-12-19 03:00:03;4;1.05
125873515;2225;2022-12-19 03:00:03;4;1
125873515;3422;2022-12-19 03:00:03;4;0.5
125873515;2483;2022-12-19 03:00:03;4;1
125873515;2504;2022-12-19 03:00:03;3;0.5
125873515;1949;2022-12-19 03:00:03;3;1.3
125873515;1956;2022-12-19 03:00:03;4;1.25
125873515;2259;2022-12-19 03:00:03;4;1.05
125873515;1962;2022-12-19 03:00:03;4;0.5
125873515;3308;2022-12-19 03:00:03;4;1.03
125873515;2255;2022-12-19 03:00:03;4;0.7
125873515;2976;2022-12-19 03:00:03;4;1
125873515;2063;2022-12-19 03:00:03;3;1.04
125873515;2298;2022-12-19 03:00:03;4;1.3
125873515;2312;2022-12-19 03:00:03;4;1.05
125873515;2468;2022-12-19 03:00:03;4;1.06
125873515;2530;2022-12-19 03:00:03;3;0.5
125873515;2599;2022-12-19 03:00:03;3;1.1
125873515;3435;2022-12-19 03:00:03;4;1.25
125873515;3470;2022-12-19 03:00:03;4;1
125873515;2311;2022-12-19 03:00:03;4;1
125873515;3045;2022-12-19 03:00:03;4;1
125873515;2257;2022-12-19 03:00:03;4;1.08
125873515;2486;2022-12-19 03:00:03;3;1.25
125873515;2484;2022-12-19 03:00:03;4;1
125873515;2071;2022-12-19 03:00:03;4;1
125873515;2009;2022-12-19 03:00:03;3;1.3
125873515;3134;2022-12-19 03:00:03;3;1
125873515;2299;2022-12-19 03:00:03;4;1
125873515;2080;2022-12-19 03:00:03;4;1.1
125873515;4145;2022-12-19 03:00:03;4;1
125873515;2254;2022-12-19 03:00:03;4;1
125873515;3701;2022-12-19 03:00:03;4;1.3
125873515;3448;2022-12-19 03:00:03;4;1.02
125873515;3903;2022-12-19 03:00:03;4;1
125873515;3967;2022-12-19 03:00:03;4;1.25
125873515;2771;2022-12-19 03:00:03;4;1
125873515;2495;2022-12-19 03:00:03;4;1
125873515;2039;2022-12-19 03:00:03;4;1.05
125873515;2043;2022-12-19 03:00:03;4;1
125873515;2365;2022-12-19 03:00:03;4;1.2
125873515;2053;2022-12-19 03:00:03;4;1
125873515;2077;2022-12-19 03:00:03;4;1
125873515;4091;2022-12-19 03:00:03;4;0.5
125873515;2294;2022-12-19 03:00:03;4;1
125873515;2698;2022-12-19 03:00:03;1;1
125873515;2029;2022-12-19 03:00:03;1;1.1
125873515;3623;2022-12-19 03:00:03;1;1
125873515;2037;2022-12-19 03:00:03;1;1
125873515;1929;2022-12-19 03:00:03;1;1
125873515;2287;2022-12-19 03:00:03;1;1
125873515;3815;2022-12-19 03:00:03;1;1
125873515;2536;2022-12-19 03:00:03;1;1
125873515;3891;2022-12-19 03:00:03;1;1
125873515;2293;2022-12-19 03:00:03;1;1
125873515;2014;2022-12-19 03:00:03;1;1
125873515;3805;2022-12-19 03:00:03;1;1
125873515;2295;2022-12-19 03:00:03;1;1
125873515;2076;2022-12-19 03:00:03;1;1
125873515;4321;2022-12-19 03:00:03;1;1
125873515;4047;2022-12-19 03:00:03;4;1.3
125873515;4130;2022-12-19 03:00:03;4;1
125873515;4366;2022-12-19 03:00:03;4;1
125873515;2532;2022-12-19 03:00:03;4;0.2
125873515;4540;2022-12-19 03:00:03;1;1
125873515;3762;2022-12-19 03:00:03;4;0.61
125873515;4630;2022-12-19 03:00:03;4;1
125873515;3292;2022-12-19 03:00:03;4;1
125873515;4679;2022-12-19 03:00:03;4;1
125873515;3662;2022-12-19 03:00:03;4;1.3
125873515;4614;2022-12-19 03:00:03;4;1
125873515;4642;2022-12-19 03:00:03;4;1.25
125873515;3444;2022-12-19 03:00:03;4;1
125873515;4730;2022-12-19 03:00:03;4;1
